Cluster ClusterRank deltaG deltaGelec deltaGvdw deltaGligsolvnonpol deltaGligsolvpol deltaGprotsolvnonpol deltaGprotsolvpol deltaGcompsolvnonpol deltaGcompsolvpol extraFull surfFull solvFull IntraFull InterFull FullFitness SimpleFitness Energy
15 5 -7.9619575 0.0 -38.8282 9.8993 -17.4023 221.095 -1411.41 219.521 -1415.96 0.0 219.521 -1415.96 334.279 -38.8282 -900.98816 264.006 264.006
15 6 -7.675505 0.0 -36.0947 9.71318 -17.4194 221.095 -1411.41 219.599 -1415.93 0.0 219.599 -1415.93 335.203 -36.0947 -897.2228 266.807 266.807
15 7 -7.5169563 0.0 -36.3123 9.53438 -16.1618 221.095 -1411.41 220.096 -1412.79 0.0 220.096 -1412.79 332.69 -36.3123 -896.31635 267.979 267.979
16 0 -7.793124 0.0 -38.1847 9.40577 -16.2234 221.095 -1411.41 219.631 -1413.95 0.0 219.631 -1413.95 320.27 -38.1847 -912.23364 252.129 252.129
16 1 -7.793124 0.0 -38.1847 9.40577 -16.2234 221.095 -1411.41 219.631 -1413.95 0.0 219.631 -1413.95 320.27 -38.1847 -912.23364 252.129 252.129
16 2 -7.742003 0.0 -37.5457 9.43775 -16.316 221.095 -1411.41 219.718 -1414.28 0.0 219.718 -1414.28 320.308 -37.5457 -911.7997 252.648 252.648
16 3 -7.742003 0.0 -37.5457 9.43775 -16.316 221.095 -1411.41 219.718 -1414.28 0.0 219.718 -1414.28 320.308 -37.5457 -911.7997 252.648 252.648
16 4 -7.742003 0.0 -37.5457 9.43775 -16.316 221.095 -1411.41 219.718 -1414.28 0.0 219.718 -1414.28 320.308 -37.5457 -911.7997 252.648 252.648
16 5 -7.745258 0.0 -37.5906 9.44913 -16.3552 221.095 -1411.41 219.721 -1414.29 0.0 219.721 -1414.29 320.424 -37.5906 -911.73566 252.621 252.621
16 6 -7.745258 0.0 -37.5906 9.44913 -16.3552 221.095 -1411.41 219.721 -1414.29 0.0 219.721 -1414.29 320.424 -37.5906 -911.73566 252.621 252.621
16 7 -7.745258 0.0 -37.5906 9.44913 -16.3552 221.095 -1411.41 219.721 -1414.29 0.0 219.721 -1414.29 320.424 -37.5906 -911.73566 252.621 252.621
17 0 -8.130552 0.0 -48.086 9.12235 -17.2286 221.095 -1411.41 219.371 -1405.2 0.0 219.371 -1405.2 322.239 -48.086 -911.6759 250.751 250.751
17 1 -8.130552 0.0 -48.086 9.12235 -17.2286 221.095 -1411.41 219.371 -1405.2 0.0 219.371 -1405.2 322.239 -48.086 -911.6759 250.751 250.751
17 2 -8.130552 0.0 -48.086 9.12235 -17.2286 221.095 -1411.41 219.371 -1405.2 0.0 219.371 -1405.2 322.239 -48.086 -911.6759 250.751 250.751
17 3 -7.783847 0.0 -44.3582 9.23789 -17.0727 221.095 -1411.41 219.971 -1405.89 0.0 219.971 -1405.89 320.857 -44.3582 -909.4202 254.377 254.377
17 4 -7.898403 0.0 -45.5686 9.32394 -17.0637 221.095 -1411.41 219.81 -1405.5 0.0 219.81 -1405.5 322.148 -45.5686 -909.11066 253.458 253.458
17 5 -7.898403 0.0 -45.5686 9.32394 -17.0637 221.095 -1411.41 219.81 -1405.5 0.0 219.81 -1405.5 322.148 -45.5686 -909.11066 253.458 253.458
17 6 -7.898403 0.0 -45.5686 9.32394 -17.0637 221.095 -1411.41 219.81 -1405.5 0.0 219.81 -1405.5 322.148 -45.5686 -909.11066 253.458 253.458
17 7 -7.898403 0.0 -45.5686 9.32394 -17.0637 221.095 -1411.41 219.81 -1405.5 0.0 219.81 -1405.5 322.148 -45.5686 -909.11066 253.458 253.458
18 0 -7.964544 0.0 -43.8635 9.63766 -15.879 221.095 -1411.41 218.68 -1405.8 0.0 218.68 -1405.8 319.47 -43.8635 -911.5136 251.656 251.656
19 0 -8.25647 0.0 -48.8013 9.69606 -15.9692 221.095 -1411.41 219.031 -1403.48 0.0 219.031 -1403.48 322.212 -48.8013 -911.0383 248.27 248.27
19 1 -8.011458 0.0 -47.0933 9.40808 -15.6359 221.095 -1411.41 219.336 -1402.7 0.0 219.336 -1402.7 324.187 -47.0933 -906.2702 253.476 253.476
20 0 -7.7126913 0.0 -37.2819 9.65911 -16.8316 221.095 -1411.41 220.04 -1414.88 0.0 220.04 -1414.88 321.131 -37.2819 -910.9909 251.0 251.0
20 1 -7.7082653 0.0 -37.2764 9.66183 -16.8221 221.095 -1411.41 220.019 -1414.77 0.0 220.019 -1414.77 321.06 -37.2764 -910.96747 251.033 251.033
20 2 -7.6945705 0.0 -37.1515 9.65979 -16.8375 221.095 -1411.41 219.988 -1414.71 0.0 219.988 -1414.71 321.207 -37.1515 -910.6664 251.302 251.302
20 3 -7.6945705 0.0 -37.1515 9.65979 -16.8375 221.095 -1411.41 219.988 -1414.71 0.0 219.988 -1414.71 321.207 -37.1515 -910.6664 251.302 251.302
20 4 -7.445125 0.0 -35.6372 9.76593 -16.5428 221.095 -1411.41 220.107 -1412.7 0.0 220.107 -1412.7 320.711 -35.6372 -907.5192 255.813 255.813
20 5 -7.453933 0.0 -35.1573 9.71677 -16.8577 221.095 -1411.41 219.941 -1413.72 0.0 219.941 -1413.72 321.479 -35.1573 -907.4572 255.822 255.822
20 6 -7.453933 0.0 -35.1573 9.71677 -16.8577 221.095 -1411.41 219.941 -1413.72 0.0 219.941 -1413.72 321.479 -35.1573 -907.4572 255.822 255.822
20 7 -7.486407 0.0 -35.2726 9.66459 -17.0161 221.095 -1411.41 219.856 -1414.18 0.0 219.856 -1414.18 322.957 -35.2726 -906.6396 256.656 256.656
21 0 -7.9200363 0.0 -47.3101 9.61468 -16.3934 221.095 -1411.41 219.246 -1401.17 0.0 219.246 -1401.17 318.331 -47.3101 -910.9032 249.605 249.605
21 1 -7.914414 0.0 -47.2194 9.61559 -16.372 221.095 -1411.41 219.223 -1401.16 0.0 219.223 -1401.16 318.285 -47.2194 -910.87146 249.66 249.66
